gid,row,col,xcoord,ycoord,landarea,mountains_mean,ttime_min
"49182","69","222","-69.25","-55.75","4.121329",,"966"
"49183","69","223","-68.75","-55.75","3.939085",,"895"
"49184","69","224","-68.25","-55.75","267.6652",,"666"
"49185","69","225","-67.75","-55.75","241.4948",,"619"
"49186","69","226","-67.25","-55.75","310.0095",,"573"
"49898","70","218","-71.25","-55.25","3.393508",,"676"
"49899","70","219","-70.75","-55.25","346.1406",,"648"
"49900","70","220","-70.25","-55.25","179.4972",,"876"
"49901","70","221","-69.75","-55.25","804.0784","0.838","883"
"49902","70","222","-69.25","-55.25","1096.291","0.7766666","683"
"49903","70","223","-68.75","-55.25","1280.951","0.834","615"
"49904","70","224","-68.25","-55.25","947.5075","0.61","524"
"49905","70","225","-67.75","-55.25","787.4539","0.2466667","512"
"49906","70","226","-67.25","-55.25","850.2806","0","452"
"49907","70","227","-66.75","-55.25","341.1651","0.12","465"
"49908","70","228","-66.25","-55.25","58.30441",,"540"
"50616","71","216","-72.25","-54.75","2.8026",,"605"
"50617","71","217","-71.75","-54.75","392.1746",,"555"
"50618","71","218","-71.25","-54.75","760.6631","0.635","355"
"50619","71","219","-70.75","-54.75","1191.237","0.73","389"
"50620","71","220","-70.25","-54.75","1234.041","0.8925","446"
"50621","71","221","-69.75","-54.75","1475.19","0.9576923","434"
"50622","71","222","-69.25","-54.75","1573.215","0.9144444","598"
"50623","71","223","-68.75","-54.75","1541.028","0.6880769","450"
"50624","71","224","-68.25","-54.75","1469.945","0.5060869","314"
"50625","71","225","-67.75","-54.75","1645.083","0.467037","262"
"50626","71","226","-67.25","-54.75","1565.774","0.4184","245"
"50627","71","227","-66.75","-54.75","1654.619","0.14","431"
"50628","71","228","-66.25","-54.75","1589.473","0.3207692","444"
"50629","71","229","-65.75","-54.75","925.2692","0.3116667","473"
"50630","71","230","-65.25","-54.75","541.585","0.1883333","559"
"50631","71","231","-64.75","-54.75","141.756",,"673"
"50632","71","232","-64.25","-54.75","265.2704",,"719"
"50633","71","233","-63.75","-54.75","87.47816",,"842"
"51078","71","678","158.75","-54.75","120.4559",,"2811"
"51334","72","214","-73.25","-54.25","165.8742",,"789"
"51335","72","215","-72.75","-54.25","316.8645",,"618"
"51336","72","216","-72.25","-54.25","707.592","0.41","493"
"51337","72","217","-71.75","-54.25","988.6063","0.79","395"
"51338","72","218","-71.25","-54.25","1190.377",,"225"
"51339","72","219","-70.75","-54.25","1047.042","0.8525","205"
"51340","72","220","-70.25","-54.25","962.8074","0.73","263"
"51341","72","221","-69.75","-54.25","1205.942","0.2541667","367"
"51342","72","222","-69.25","-54.25","1457.366","0.3140909","353"
"51343","72","223","-68.75","-54.25","1804.205","0.3488571","114"
"51344","72","224","-68.25","-54.25","1805.949","0.1913889","76"
"51345","72","225","-67.75","-54.25","1805.949","0.1380555","49"
"51346","72","226","-67.25","-54.25","1520.358","0.03321429","164"
"51347","72","227","-66.75","-54.25","762.1415","0.07909091","239"
"51348","72","228","-66.25","-54.25","38.03429",,"451"
"51798","72","678","158.75","-54.25","5.345961",,"2807"
"52053","73","213","-73.75","-53.75","218.7796",,"984"
"52054","73","214","-73.25","-53.75","1139.927","0.228","836"
"52055","73","215","-72.75","-53.75","1370.937","0.8581818","588"
"52056","73","216","-72.25","-53.75","1020.93","0.5033333","398"
"52057","73","217","-71.75","-53.75","1322.003","0.7313333","298"
"52058","73","218","-71.25","-53.75","1338.247","0.6356522","209"
"52059","73","219","-70.75","-53.75","784.0734","0.1825","101"
"52060","73","220","-70.25","-53.75","486.3585","0.5466667","165"
"52061","73","221","-69.75","-53.75","1357.961","0.3731818","298"
"52062","73","222","-69.25","-53.75","1793.861","0.02705882","251"
"52063","73","223","-68.75","-53.75","1827.77","0","107"
"52064","73","224","-68.25","-53.75","1810.898","0","59"
"52065","73","225","-67.75","-53.75","911.166","0","31"
"52066","73","226","-67.25","-53.75","14.83793",,"122"
"52772","74","212","-74.25","-53.25","345.864",,"1077"
"52773","74","213","-73.75","-53.25","473.9853",,"928"
"52774","74","214","-73.25","-53.25","962.1197",,"811"
"52775","74","215","-72.75","-53.25","1362.297","0.69","457"
"52776","74","216","-72.25","-53.25","1226.668","0.4675","253"
"52777","74","217","-71.75","-53.25","1034.058","0.7375","174"
"52778","74","218","-71.25","-53.25","1651.925","0.636","39"
"52779","74","219","-70.75","-53.25","232.0295","0.1","0"
"52780","74","220","-70.25","-53.25","1453.713","0.2055556","165"
"52781","74","221","-69.75","-53.25","1266.745","0.03458333","263"
"52782","74","222","-69.25","-53.25","1657.766","0","282"
"52783","74","223","-68.75","-53.25","1793.256","0","237"
"52784","74","224","-68.25","-53.25","690.285","0","193"
"53491","75","211","-74.75","-52.75","173.0619",,"1117"
"53492","75","212","-74.25","-52.75","289.8286",,"1033"
"53493","75","213","-73.75","-52.75","720.8546",,"932"
"53494","75","214","-73.25","-52.75","1401.013","0.73875","838"
"53495","75","215","-72.75","-52.75","1331.409","0.64375","474"
"53496","75","216","-72.25","-52.75","1223.033","0.502","324"
"53497","75","217","-71.75","-52.75","1142.325","0.4116667","118"
"53498","75","218","-71.25","-52.75","1378.15","0.004444445","55"
"53499","75","219","-70.75","-52.75","1188.06","0","41"
"53500","75","220","-70.25","-52.75","847.037","0.0875","116"
"53501","75","221","-69.75","-52.75","1117.954","0","236"
"53502","75","222","-69.25","-52.75","1490.382","0","260"
"53503","75","223","-68.75","-52.75","1369.526","0","210"
"53504","75","224","-68.25","-52.75","239.6927","0","284"
