mission,yearmon,month,year,unsc_resolution,peaceag_cease_monitor,buffer_monitor,liaise_warpart,goodoffices,peaceag_cease_assist,humrts_monitor,refugees_monitor,humrts_protect,children_protect,women_protect,prociv,unpersonnel_protect,demining_assist,refugees_assist,humaid_assist,humpersonnel_protect,borders_monitor,weaponstrade_monitor,weaponsembargo_monitor,cargoinspections,resources_monitor,ch7,election_monitor,election_security,election_assist,govcap_assist,cultural_pres,qip_assist,justice_assist,securitysectorreform_assist,policereform_assist,police_monitor,police_jointpatrols,reconciliation,justice_warcrim,ddr_monitor,ddr_assist,mission_pr,freepress,au_coop,eu_coop,undp_coop,ecowas_coop,jmc_coop,othermission_coop,oas_coop,osce_coop,cis_coop,coop_other,ccode,ccode2,ccode3,ccode4,ccode5,region,subtasks,totaltasks,numtasks,pkratio,vlimratio,pbratio,factor1,factor2,factor3,missionen,govpolicies_assist
BINUB,575,12,2007,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,590,3,2009,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,563,12,2006,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,593,6,2009,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,599,12,2009,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,565,2,2007,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,568,5,2007,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,564,1,2007,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,607,8,2010,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,600,1,2010,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,601,2,2010,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,586,11,2008,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,578,3,2008,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,573,10,2007,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,596,9,2009,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,581,6,2008,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,588,1,2009,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,594,7,2009,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,567,4,2007,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,561,10,2006,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,603,4,2010,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,592,5,2009,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,570,7,2007,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,611,12,2010,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,587,12,2008,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,589,2,2009,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,579,4,2008,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
